,time,frequencies,channel,answer,prec_time,stimulus,subject,visual_cue,boundary,loc_change,changable_notes
0,0.016,493.8833013,1,0,0.0,output_2,p01,1.0,1.0,1.0,0.0
1,1.002,830.6093952,1,0,0.0,output_2,p01,0.0,0.0,0.0,1.0
2,2.015,311.1269837,1,0,0.0,output_2,p01,0.0,0.0,0.0,0.0
3,3.014,415.3046976,1,0,0.0,output_2,p01,0.0,1.0,0.0,1.0
4,4.014,369.9944227,1,0,0.0,output_2,p01,0.0,0.0,0.0,0.0
5,5.003,659.2551138,1,0,0.0,output_2,p01,0.0,0.0,0.0,1.0
6,6.007,261.6255653,1,0,0.0,output_2,p01,0.0,0.0,0.0,0.0
7,7.006,880.0,1,0,0.0,output_2,p01,0.0,0.0,0.0,1.0
8,8.005,493.8833013,1,0,0.0,output_2,p01,0.0,0.0,0.0,0.0
9,9.003,622.2539674,1,0,0.0,output_2,p01,1.0,1.0,0.0,1.0
10,10.003,493.8833013,1,0,0.0,output_2,p01,0.0,0.0,0.0,0.0
11,11.004,391.995436,1,0,0.0,output_2,p01,0.0,0.0,0.0,1.0
12,12.003,329.6275569,1,0,0.0,output_2,p01,0.0,0.0,0.0,0.0
13,13.0,220.0,1,0,0.0,output_2,p01,0.0,0.0,0.0,1.0
14,14.012,659.2551138,1,0,0.0,output_2,p01,0.0,0.0,0.0,0.0
15,15.001,698.4564629,1,0,0.0,output_2,p01,0.0,0.0,0.0,1.0
16,16.014,523.2511306,1,0,0.0,output_2,p01,0.0,0.0,0.0,0.0
17,17.014,659.2551138,1,0,0.0,output_2,p01,0.0,0.0,0.0,1.0
18,18.013,523.2511306,1,0,0.0,output_2,p01,0.0,0.0,0.0,0.0
19,19.014,659.2551138,1,0,0.0,output_2,p01,0.0,0.0,0.0,1.0
20,20.014,698.4564629,1,0,0.0,output_2,p01,0.0,0.0,0.0,0.0
21,21.009,587.3295358,1,0,0.0,output_2,p01,0.0,0.0,0.0,1.0
22,22.006,277.182631,1,0,0.0,output_2,p01,0.0,0.0,0.0,0.0
23,23.016,329.6275569,1,0,0.0,output_2,p01,0.0,0.0,0.0,1.0
24,24.01,466.1637615,1,0,0.0,output_2,p01,0.0,0.0,0.0,0.0
25,25.007,587.3295358,1,0,0.0,output_2,p01,0.0,0.0,0.0,1.0
26,26.001,329.6275569,1,0,0.0,output_2,p01,0.0,0.0,0.0,0.0
27,27.004,23,1,0,0.0,output_2,p01,1.0,0.0,1.0,1.0
28,27.004,739.9888454,1,0,0.0,output_2,p01,0.0,0.0,0.0,0.0
29,28.004,698.4564629,1,0,0.0,output_2,p01,0.0,0.0,0.0,1.0
30,29.009,493.8833013,1,0,0.0,output_2,p01,0.0,0.0,0.0,0.0
31,30.008,783.990872,1,0,0.0,output_2,p01,1.0,1.0,1.0,1.0
32,31.007,277.182631,1,0,0.0,output_2,p01,0.0,0.0,0.0,0.0
33,32.008,698.4564629,1,1,32.039,output_2,p01,0.0,0.0,0.0,1.0
34,33.008,440.0,1,0,0.0,output_2,p01,0.0,0.0,0.0,0.0
35,34.007,277.182631,1,0,0.0,output_2,p01,0.0,0.0,0.0,1.0
36,35.008,311.1269837,1,0,0.0,output_2,p01,0.0,0.0,0.0,0.0
37,36.007,622.2539674,1,0,0.0,output_2,p01,0.0,0.0,1.0,1.0
38,37.006,349.2282314,1,0,0.0,output_2,p01,0.0,0.0,0.0,0.0
39,38.014,466.1637615,1,0,0.0,output_2,p01,0.0,0.0,0.0,1.0
40,39.013,349.2282314,1,0,0.0,output_2,p01,0.0,1.0,1.0,0.0
41,40.012,415.3046976,1,0,0.0,output_2,p01,0.0,0.0,0.0,1.0
42,41.006,783.990872,1,0,0.0,output_2,p01,0.0,0.0,0.0,0.0
43,42.006,391.995436,1,0,0.0,output_2,p01,0.0,0.0,0.0,1.0
44,43.005,659.2551138,1,0,0.0,output_2,p01,0.0,0.0,0.0,0.0
45,44.005,554.365262,1,0,0.0,output_2,p01,0.0,0.0,0.0,1.0
46,45.003,233.0818808,1,0,0.0,output_2,p01,0.0,0.0,0.0,0.0
47,46.001,739.9888454,1,0,0.0,output_2,p01,0.0,0.0,0.0,1.0
48,47.001,440.0,1,0,0.0,output_2,p01,0.0,0.0,0.0,0.0
49,48.0,554.365262,1,0,0.0,output_2,p01,0.0,0.0,0.0,1.0
50,49.0,277.182631,1,0,0.0,output_2,p01,0.0,0.0,0.0,0.0
51,50.015,523.2511306,1,0,0.0,output_2,p01,0.0,0.0,0.0,1.0
52,51.015,466.1637615,1,0,0.0,output_2,p01,0.0,0.0,0.0,0.0
53,52.014,440.0,1,0,0.0,output_2,p01,0.0,0.0,0.0,1.0
54,53.014,783.990872,1,0,0.0,output_2,p01,0.0,0.0,0.0,0.0
55,54.012,880.0,1,0,0.0,output_2,p01,1.0,0.0,1.0,1.0
56,55.003,23,1,0,0.0,output_2,p01,0.0,0.0,0.0,0.0
57,55.041,587.3295358,1,0,0.0,output_2,p01,0.0,0.0,0.0,1.0
58,56.01,329.6275569,1,0,0.0,output_2,p01,0.0,0.0,0.0,0.0
59,57.009,246.9416506,1,0,0.0,output_2,p01,0.0,1.0,1.0,1.0
60,58.007,233.0818808,1,0,0.0,output_2,p01,,,,
61,59.011,220.0,1,0,0.0,output_2,p01,,,,
